Jaan Liik         |  tantsimine, kino
Urve Kittel       |  lugemine, teater
Inga Ubin         | 
Aune Altimeit     |  kino, lugemine, matkamine, matkimine
Tatjana Sandrova  |  kokandus
Justin Saar       |  
Gerda Uusvoor     |  heegeldamine, kudumine, motosport
Riin Haljaste     |  tugitoolisport
Joosep Taevas     |  robootika, tugitoolisport
Uku Lepp          |  lugemine,  matkamine
Sulev Palk        |  matkamine,  lugemine
Ants Aus          |  programeerimine,  kino,  teater
Estin Kuld        |  magamine
Gert Timpan       |  prantsuse keel ja kirjandus
Maarja Maa        |  kino, tugitoolisport
Eliisa Tihe       |  Facebook
Rainer Soone      |  motosport, tugitoolisport
Kristiina Ruun    |  voodoo
Teet Kala         |  kino, jalgpall, matkamine
Annika Tihe       | 
Anton Valdiszenko |  programeerimine, robootika
Kaarel Hundu      |  lugemine,  teater
Isabella Koit     |  tugitoolisport
Liis Vesiliiv     |  kino
Reelika Tass      |  teater,  kino
